Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
1,77,115701,20038,15729,14482,2523
1,78,109452,19970,15821,13952,2323
1,79,112800,26259,21166,16287,2101
1,80,168960,45126,24819,16719,2395
1,81,97285,22593,19482,15946,1854
1,82,133070,31876,20792,15534,1747
1,83,118195,25543,18089,14697,1902
1,84,127335,24327,17964,14264,1891
1,85,108488,22975,25460,17782,1394
1,86,113280,17644,16333,12301,288
1,87,101873,15993,11821,10876,1263
1,88,90185,16962,16089,13572,1636
1,89,117906,20695,18018,14798,2220
1,90,117803,23551,15869,11997,2038
1,91,117698,27276,22156,15887,2349
1,92,128764,24616,16365,13393,2218
1,93,96105,19767,11235,8973,1432
1,94,94895,16601,13115,10964,1447
1,95,98481,19784,16541,11645,1086
1,96,123429,24697,16517,12147,2392
2,1,196283,27150,21085,18766,3663
2,2,160217,26872,20883,16555,3119
2,3,121599,21141,16035,11572,1820
2,4,100191,22825,26956,19725,1304
2,5,122877,22685,21956,15247,1677
2,6,111962,19887,20618,13699,1927
2,7,119871,20257,19955,13753,1818
2,8,141818,31208,19060,10778,1598
2,9,124000,25257,17865,11569,1965
2,10,205160,36698,26068,16258,2395
2,11,180927,30732,22890,16721,3143
2,12,178803,25832,21879,18134,4364
2,13,133380,22480,19087,16114,2209
2,14,109286,18981,15995,12694,2110
2,15,97647,21198,16279,11149,1819
2,16,96698,24987,23507,14224,1510
2,17,85027,21517,21696,13654,1706
2,18,94358,22669,19077,11894,1058
2,19,92612,19175,14813,10015,603
2,20,92746,19327,14890,9975,2165
2,21,122831,29439,22899,14700,2184
2,22,114426,26044,21187,13906,1906
2,23,129521,29370,22157,13952,1791
2,24,141922,37314,25781,16302,1724
2,25,137319,50858,50678,31242,2847
2,26,139811,23055,20838,17542,2299
2,27,100586,17509,16329,14048,1494
2,28,315055,126853,50580,19096,1474
2,29,196734,69226,36114,16430,1534
2,30,760145,411290,133609,30076,1486
2,31,235798,62242,25177,14362,1122
2,32,78231,20417,17506,12439,2288
2,33,681950,254746,69931,18650,1727
2,34,112736,25788,15283,10607,1646
2,35,139701,29430,17657,12990,2350
2,36,125775,26043,19208,13558,2680
2,37,1735908,4061000,4084560,1202832,3805
2,38,179409,253001,259242,96314,2424
2,39,108846,30347,25457,17052,1880
2,40,79871,21713,20345,16091,1020
2,41,102230,26112,20533,14801,2170
2,42,86693,20414,15581,14026,1480
2,43,80062,18755,16176,13863,1934
2,44,91236,21312,15932,12902,2017
2,45,88651,23094,17380,12290,1609
2,46,109764,24136,17488,13306,1773
2,47,121272,27655,19389,13862,1775
2,48,122565,26504,18632,13791,1699
2,49,99945,27314,30648,22267,1759
2,50,96047,18376,17940,15776,2131
2,51,74986,17379,15916,12118,1730
2,52,59962,18179,19041,14613,1409
2,53,79792,29309,24789,15127,2032
2,54,73942,19094,14349,12482,1637
2,55,70956,20615,19739,14105,1730
2,56,84332,21569,19406,14196,2249
2,57,74027,20338,18059,13256,1745
2,58,83061,20906,15554,11518,1415
2,59,116562,29926,22475,14571,1493
2,60,122300,35637,20261,12921,1587
2,61,104044,20173,17047,14502,2251
2,62,87243,19341,15906,14059,2346
2,63,73540,19396,16298,15163,2133
2,64,80621,20657,15966,14887,3044
2,65,134098,50066,32681,21268,1620
2,66,118621,36371,21585,16001,2365
2,67,77861,19652,15225,14263,1433
2,68,110507,42265,25495,18408,1814
2,69,69854,19087,18205,19375,2579
2,70,92387,37071,25739,19148,2079
2,71,120183,34429,20248,14622,1106
2,72,75509,16902,15747,13684,1645
2,73,125663,27349,18817,13093,1576
2,74,110277,33041,20551,14881,1153
2,75,105399,15038,11759,11957,1610
2,76,85163,19895,19346,15307,1163
2,77,113214,19354,15376,13970,1994
2,78,106988,19269,15275,14063,2361
2,79,110320,25217,20738,16526,1991
2,80,164150,43957,24129,16277,2139
2,81,93600,21839,18995,15939,1727
2,82,128312,30719,19803,15344,1636
2,83,113542,24775,17234,13822,1675
2,84,120500,23735,17758,13636,1975
2,85,106014,22674,25053,17903,1657
2,86,111413,17357,15625,12367,119
2,87,98693,16103,11302,10594,1609
2,88,86823,16771,15637,13558,1477
2,89,114179,20033,17625,14447,2153
2,90,115044,22782,15479,12069,2063
2,91,114963,26666,21436,16028,2198
2,92,124584,23752,16100,13302,2154
2,93,92557,19305,10831,9447,1385
2,94,92082,15851,13158,10802,1173
2,95,95488,18787,15860,11555,1287
2,96,119771,23571,16347,12499,2493
3,1,195099,26894,20640,18730,3578
3,2,156583,25989,20463,15882,2698
3,3,120017,20874,15630,11378,1615
3,4,98301,22232,26181,19213,1557
3,5,121971,22336,21772,15672,1863
3,6,110955,19820,20334,13461,2230
3,7,118840,19965,19795,13285,1745
3,8,140606,31215,18863,9955,1351
3,9,121422,24472,17268,11710,1734
3,10,202848,36124,25601,15968,2152
3,11,180390,30595,22662,16590,2377
3,12,177639,24827,21373,17884,4968
3,13,131952,21876,18839,15880,2188
3,14,107365,18430,15831,13173,1807
3,15,93919,20507,16367,11069,1424
3,16,95516,25290,22998,13706,1401
3,17,83369,20631,21364,13706,1404
3,18,92749,22239,18572,11307,1215
3,19,90421,19286,14549,9736,141
3,20,92243,19158,14765,10315,1845
3,21,120761,28774,22475,14316,2685
3,22,112845,25279,21085,13965,1687
3,23,126656,29034,22182,14489,1716
3,24,140513,36946,25673,16314,1602
3,25,135658,52368,51618,31626,2484
3,26,137547,23410,21148,17330,2408
3,27,99233,17168,16054,13938,1883
3,28,321737,129488,51728,19575,1391
3,29,198747,69935,36986,16806,1620
3,30,767436,413426,134739,30215,1379
3,31,239739,62663,25203,14277,1653
3,32,77362,20224,17158,12199,1856
3,33,692115,255974,69933,19065,1588
3,34,113398,25540,14909,10081,1575
3,35,138386,29227,17610,12577,2189
3,36,125012,25860,18851,13273,2984
3,37,1742992,4077186,4115257,1220961,3937
3,38,175812,250391,258606,97259,2142
3,39,107623,29723,25134,16470,1765
3,40,79909,21384,19933,16033,1499
3,41,100666,25636,20068,14750,1934
3,42,84138,20608,15359,14018,1783
3,43,78944,18574,15793,14122,1492
3,44,90266,20679,15697,12824,1744
3,45,86647,22657,17158,12605,1749
3,46,107484,24191,17388,13098,2152
3,47,118707,27113,19485,13671,1878
3,48,120117,26575,18608,13565,1634
3,49,98442,28421,31189,23003,2205
3,50,93768,18113,17898,15561,1462
3,51,73014,16796,15501,11609,1415
3,52,59172,18065,19213,14099,1082
3,53,77105,28368,24816,15291,2006
3,54,72813,18629,14336,12511,1748
3,55,69446,20158,19698,13832,1297
3,56,82920,21255,19024,14364,2140
3,57,71778,20037,17927,13203,2192
3,58,80910,20576,15359,11328,1142
3,59,112581,29483,21982,14391,1486
3,60,120199,35751,21280,13267,1417
3,61,102042,19252,16155,13726,2236
3,62,86181,18996,15718,14183,2064
3,63,72609,18834,16005,15567,2012
3,64,79793,20140,15801,14394,2691
3,65,131270,49395,32252,21489,1798
3,66,115645,35816,21313,15684,1973
3,67,76679,19411,14986,14123,1510
3,68,109056,41608,25085,17948,1998
3,69,66503,18260,17318,18823,2255
3,70,92836,37124,25718,19176,1826
3,71,118835,34491,20337,14685,1598
3,72,73216,16882,15376,13352,1620
3,73,124736,27134,18459,13317,1474
3,74,109183,32726,20339,14719,1212
3,75,103484,14872,11375,12316,1822
3,76,83726,19507,19112,15697,1416
3,77,111794,19120,15039,14043,2278
3,78,106619,18949,15302,13917,2291
3,79,108973,24732,20458,16230,2031
3,80,160105,42977,23987,16379,2592
3,81,91363,21558,18725,15439,1632
3,82,124239,30061,19667,14643,1455
3,83,109697,24257,17407,14161,1074
3,84,117188,23252,17068,13764,1975
3,85,106199,22416,25243,18208,1693
3,86,110650,17164,15763,12439,473
3,87,99018,15535,11279,11131,1908
3,88,85518,15983,15151,13631,1584
3,89,113256,20075,17369,14522,2256
3,90,112792,22469,15314,12235,2123
3,91,112552,26023,21158,15572,2270
3,92,122403,23436,15729,13257,2210
3,93,89878,18715,10703,9274,1374
3,94,90025,15783,12627,10919,1186
3,95,92172,18651,15772,11317,1287
3,96,117191,23565,16210,12396,2481
4,1,194442,26801,20549,18119,3224
4,2,155520,25555,19835,15682,2843
4,3,118469,20382,15452,11185,1698
4,4,96818,22033,25798,18705,1609
4,5,120654,22712,21508,15259,2094
4,6,111011,19767,20423,13390,1923
4,7,117615,19982,19860,13127,1399
4,8,139119,30679,18436,10005,1224
4,9,119902,24152,17218,11524,1884
4,10,200988,35671,25030,15784,1845
4,11,177076,30095,22337,16089,3167
4,12,175035,24978,20765,17409,4167
4,13,129354,21240,18179,15816,2270
4,14,106490,18479,15656,13086,1901
