Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
3,76,64735,15613,16219,15469,1715
3,77,80688,14210,12553,13482,1778
3,78,64531,12465,12586,12467,1483
3,79,275800,86407,33014,16516,1767
3,80,102028,19739,17293,15255,1643
3,81,62917,14644,17109,16214,1226
3,82,109015,29991,21929,16559,1218
3,83,73610,14710,14049,14797,1267
3,84,75271,14853,15506,14488,2042
3,85,76556,21815,21096,17261,818
3,86,76974,11033,9190,11356,205
3,87,63675,10499,8252,9906,1404
3,88,59470,14221,13687,13650,1403
3,89,84793,13146,11601,11874,1955
3,90,74047,14037,10967,11082,1934
3,91,73395,13155,11343,11259,1444
3,92,83164,14227,11395,12097,1500
3,93,51125,9569,6131,8463,926
3,94,70496,13621,12678,12543,1506
3,95,73065,12446,10667,10831,809
3,96,85895,12807,10445,10120,2539
4,1,152910,25768,24893,25814,4065
4,2,145007,19825,17971,17452,2689
4,3,148064,31820,19208,15587,1806
4,4,70739,18079,26411,21815,1846
4,5,90213,20282,20175,14882,1220
4,6,76531,13957,16942,13487,758
4,7,87684,16356,19626,14990,1326
4,8,102528,23915,24346,18169,1337
4,9,126499,21150,20787,18974,2463
4,10,202428,30513,17054,13501,1671
4,11,132452,18601,18166,17037,1461
4,12,307571,45318,36640,35597,8673
4,13,106345,16248,15503,14352,1603
4,14,94757,15752,14471,13133,1545
4,15,90856,19527,17613,15131,1081
4,16,72260,14089,12707,10246,1014
4,17,68346,13254,12981,11611,1392
4,18,71215,13410,11011,9411,1323
4,19,64509,12807,11623,8922,0
4,20,69927,12600,12625,10106,1347
4,21,96082,18590,19698,19039,4151
4,22,81469,14959,17505,14374,1314
4,23,95438,16315,18458,15166,1785
4,24,103593,23260,19342,14234,598
4,25,156497,118991,107361,46731,1715
4,26,124419,20376,17099,14134,2021
4,27,79629,13547,13995,13234,1484
4,28,374466,156070,64196,21352,1036
4,29,79682,18793,14742,13576,1089
4,30,857443,401907,97660,20600,1499
4,31,233364,56418,21186,13269,997
4,32,59759,10839,9029,9408,1613
4,33,933027,377478,78844,15957,1136
4,34,74863,13688,10693,9780,1170
4,35,92840,13945,10979,9980,1641
4,36,103046,13493,10352,9966,2714
4,37,2405987,4835139,4110840,1059125,3300
4,38,237851,341151,337499,122125,3130
4,39,190559,61851,36481,20322,1981
4,40,63099,15862,15489,14491,1187
4,41,63098,14144,14651,13926,1401
4,42,56138,12652,13217,13485,1293
4,43,76278,15846,14260,14340,1556
4,44,56629,12273,13093,13008,1678
4,45,4335406,2136769,810273,145796,5859
4,46,70153,14553,15618,13563,1946
4,47,88781,16641,16793,14640,2006
4,48,92200,16838,16793,14690,1803
4,49,86845,40607,43668,28225,1496
4,50,89239,16935,16890,15833,2180
4,51,54591,12664,13621,13217,1667
4,52,56367,14061,12127,11532,822
4,53,56258,11524,10938,11587,1043
4,54,50578,10489,10080,10769,855
4,55,49515,10321,9753,10341,937
4,56,56080,11033,10241,10799,1644
4,57,69397,13247,12100,12861,2365
4,58,54990,10352,9577,10224,977
4,59,66354,14155,12921,11052,762
4,60,73855,11767,10123,11053,1109
4,61,119634,22057,19042,18060,3368
4,62,71028,20449,19468,18883,2442
4,63,61407,16427,15136,14637,1906
4,64,118236,31746,23649,22670,4297
4,65,131016,45723,26717,18634,1423
4,66,98291,31191,21838,19281,3313
4,67,154174,55684,26490,17693,1309
4,68,99581,34409,23292,17929,1856
4,69,66699,18854,18099,19302,1965
4,70,206591,84305,40604,23832,1819
4,71,88433,24710,16184,14088,850
4,72,62977,15477,15477,15380,1353
4,73,97660,18549,15917,15270,1308
4,74,79289,16434,15336,15791,953
4,75,73902,12358,11019,12645,1818
4,76,63226,15424,15894,15289,1430
4,77,78976,13675,12456,13048,2017
4,78,63660,12550,12323,12598,1715
4,79,274805,86362,33021,16836,1615
4,80,101193,19451,16917,15184,1400
4,81,61301,14412,17013,16242,1364
4,82,107464,30347,21796,16507,1318
4,83,72318,13906,13782,14163,1520
4,84,73326,14561,15111,14599,1549
4,85,75619,21746,21656,17425,942
4,86,75980,10584,8990,10836,0
4,87,63475,10469,8511,9328,1491
4,88,58803,13834,13556,13036,1362
4,89,84121,12895,11306,12015,1624
4,90,72284,13686,11015,10823,2112
4,91,71602,12897,10936,11460,1623
4,92,81230,13895,11102,11989,1147
4,93,49761,9094,5905,8468,620
4,94,69019,13350,12502,12405,1184
4,95,71959,12409,10718,11334,882
4,96,84060,12064,10298,10422,1990
5,1,151878,25118,24684,25939,3321
5,2,142910,19871,17736,17225,2805
5,3,146564,31825,19216,15582,1545
5,4,69792,17959,26054,21271,1231
5,5,90391,20336,19996,14426,1085
5,6,75116,13862,16802,13477,867
5,7,86876,16420,19576,14626,1475
5,8,100062,23544,23845,18018,1071
5,9,120930,20668,20429,17989,1949
5,10,203886,30891,16706,12617,1147
5,11,131201,18819,18092,17411,2131
5,12,295999,44263,36074,34135,8529
5,13,105549,16681,15432,14737,2015
5,14,92868,15483,14404,13135,2052
5,15,88989,19399,17865,14696,1429
5,16,70773,14024,12366,10025,1012
5,17,67854,12771,13276,11077,1518
5,18,71110,13512,11133,9189,1209
5,19,64012,12735,11450,8780,449
5,20,69412,12587,12249,10070,1223
5,21,93791,18117,19486,18473,3801
5,22,80259,15003,17516,14672,1550
5,23,93728,15890,18417,14806,1510
5,24,102657,23880,19730,14220,330
5,25,156231,121089,110391,47534,2123
5,26,123043,20727,17089,14541,1857
5,27,78630,14216,13575,13199,1761
5,28,366448,153583,63312,20996,1559
5,29,79185,18645,14460,13359,1369
5,30,870385,405396,99178,20665,963
5,31,236182,56930,21237,12804,1465
5,32,59471,11265,9410,9178,1734
5,33,943741,376119,79298,16355,1306
5,34,74663,13071,10076,8809,993
5,35,91851,13668,10605,10137,1690
5,36,102086,13164,10601,9404,3054
