Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
3,50,78808,14207,12084,12521,1775
3,51,59906,11538,9967,9963,1490
3,52,65626,12764,11186,11326,924
3,53,73718,13372,10651,10913,1619
3,54,73699,14182,12141,12610,1775
3,55,56990,14312,12497,10873,1088
3,56,68094,17834,15015,12017,1806
3,57,61125,12152,10733,10469,1847
3,58,65152,12311,10888,10366,1179
3,59,75728,29906,19147,12609,1440
3,60,121567,56393,37617,17824,1423
3,61,102906,16746,13304,14775,1872
3,62,72350,13840,11521,12116,1712
3,63,73971,13026,10666,11525,1430
3,64,151620,68260,35059,17362,2195
3,65,56852,15520,14585,13381,1483
3,66,85649,14988,12032,12937,2449
3,67,63118,15521,14010,13114,1700
3,68,59061,15406,14175,13337,1596
3,69,74263,16177,15817,17350,2141
3,70,55039,15315,14901,13701,1390
3,71,77918,13715,12818,10963,888
3,72,78748,13693,13442,11288,1012
3,73,86943,14216,11689,12759,1771
3,74,68168,20307,19572,21132,4788
3,75,59788,15770,15971,15469,1529
3,76,49366,14744,14340,13414,1489
3,77,71971,17622,17279,16703,2132
3,78,58175,15638,15089,14739,2429
3,79,64091,16819,16313,15679,2150
3,80,63226,15403,15149,13735,1608
3,81,52478,15679,16689,15605,1709
3,82,62928,15952,15581,14451,1499
3,83,68658,14691,14070,13434,1464
3,84,80270,16181,14756,13224,1713
3,85,68983,14723,45849,37752,1663
3,86,78597,11851,10667,11046,0
3,87,64445,11270,9964,10342,1171
3,88,62317,11447,9663,10054,1747
3,89,88700,13953,12989,12560,1765
3,90,76787,14231,13294,12112,1742
3,91,81805,22519,35681,31422,1852
3,92,86091,22822,19635,15450,1746
3,93,49411,13381,11994,11233,1005
3,94,69444,15507,17203,15014,1474
3,95,70849,17221,18317,15514,1115
3,96,85356,16407,15792,14438,2209
4,1,162411,25613,20857,19435,3269
4,2,156103,25750,21403,20004,3308
4,3,103594,19834,17793,15551,2859
4,4,4118537,3016005,1426795,461414,2434
4,5,82057,26343,49937,40320,1431
4,6,88167,15536,15573,11100,944
4,7,115053,13737,12161,8072,1640
4,8,109157,13154,11322,7656,853
4,9,130560,17033,13565,9987,2063
4,10,165964,19467,15381,12811,1774
4,11,188509,22546,17385,13617,2590
4,12,189808,22683,16108,13220,4774
4,13,131034,18142,12413,11998,2060
4,14,118010,16753,11737,10883,2136
4,15,100697,14466,10683,9394,1548
4,16,87598,14362,10934,8763,1329
4,17,82249,13976,11321,9253,1484
4,18,81577,13228,10676,9135,1596
4,19,81962,17236,13161,9214,774
4,20,94137,16761,12536,9963,1507
4,21,110019,18572,14734,12078,2785
4,22,107490,15997,12699,10993,1968
4,23,119267,17265,13581,11640,1825
4,24,118091,16559,12694,11275,1260
4,25,134070,16405,11782,12260,2177
4,26,168069,24482,15443,13847,2101
4,27,98317,13918,11217,10658,1490
4,28,87595,13822,11211,10678,1163
4,29,81260,13793,11442,11360,1665
4,30,68336,13614,11525,10854,1702
4,31,60990,16174,15542,14929,1226
4,32,425909,683795,673836,225055,2497
4,33,181638,267640,287339,116713,2260
4,34,109035,92438,105890,53234,1534
4,35,117461,31812,32673,22270,2184
4,36,122018,19754,17911,14971,2613
4,37,98182,13506,11404,11504,1838
4,38,103005,15096,12509,12019,2117
4,39,87289,13054,11707,11729,2066
4,40,71396,12569,11754,11388,1068
4,41,78298,15527,13256,12425,1390
4,42,91394,14367,11492,12541,1707
4,43,73853,12108,10457,10387,1256
4,44,71227,12181,10089,9896,1909
4,45,61702,11532,9687,9562,1569
4,46,76011,13586,10983,10118,1557
4,47,101785,17032,13724,12904,2389
4,48,106181,15842,12741,11509,2219
4,49,101597,16791,13299,13450,2054
4,50,78317,14163,11760,12442,1955
4,51,60340,11356,9836,10008,1571
4,52,65350,12597,11236,11232,1163
4,53,72443,13237,10723,11143,1581
4,54,73074,13892,12183,12694,1578
4,55,56643,13903,12412,10820,1009
4,56,67239,17482,14752,12146,1740
4,57,60049,12151,10228,9921,1755
4,58,65320,12446,10717,10389,1384
4,59,77379,31747,20219,13020,1147
4,60,120562,56295,38044,18232,1280
4,61,101753,16237,13049,14380,1420
4,62,71681,13328,11799,11773,1391
4,63,73050,12699,10592,11379,1912
4,64,150064,67303,34875,16983,2624
4,65,56756,15106,14335,13647,1605
4,66,84428,14617,11875,12719,2192
4,67,62489,15283,13721,13099,1464
4,68,57941,15179,13618,13340,1540
4,69,73615,15790,15744,17528,2336
4,70,54566,15350,14486,13541,1257
4,71,78869,13582,12590,11086,1029
4,72,78917,13534,12865,11541,1091
4,73,86401,13861,12070,12874,1522
4,74,67253,19948,19320,20545,4534
4,75,58569,15410,15608,15534,1529
4,76,48850,14766,14004,13433,1515
4,77,71740,17367,17044,16197,2214
4,78,57462,15401,14746,14370,1982
4,79,64322,16742,15722,15430,2092
4,80,62529,15184,14938,13823,1724
4,81,52234,15244,16140,15398,1733
4,82,62036,15800,15163,14326,1493
4,83,67960,14890,13700,13241,1483
4,84,80433,16032,14284,13129,1265
4,85,68484,14636,45626,37526,1391
4,86,77742,11773,11031,11607,0
4,87,64130,11025,9808,10216,1175
4,88,61019,11247,9717,10403,1617
4,89,86979,13900,13000,12356,1799
4,90,75598,14348,13091,11979,1928
4,91,81743,21803,35056,31142,1548
4,92,85468,22521,19603,15400,1611
4,93,49956,13318,11767,11109,872
4,94,69772,15757,16871,15308,1099
4,95,70345,16712,18036,15706,1127
4,96,84502,15921,15566,14555,1837
5,1,162095,25814,20372,19513,3663
5,2,157589,25406,21314,19507,3441
5,3,103749,20033,17082,14944,2726
5,4,4028599,2944622,1383157,445679,2009
5,5,81733,26354,49538,40673,1287
5,6,87633,15276,15599,11200,1461
5,7,114222,13479,11740,8048,1472
5,8,109611,13115,11077,7588,456
5,9,129809,16617,13362,10102,1690
5,10,164484,19171,15270,12754,2048
5,11,187258,22356,17584,13743,2174
5,12,188117,22800,16385,13229,4117
5,13,129037,17066,12211,12223,2156
5,14,117586,16525,11834,10996,1811
5,15,98952,14238,10584,9197,1604
5,16,87487,13899,10673,8420,1228
5,17,81070,13507,11167,9674,1632
5,18,80833,12850,10714,9149,1233
5,19,81302,16540,13038,9128,320
5,20,95294,16703,12475,9632,2154
5,21,108833,18243,14362,12043,2673
5,22,107036,16259,12140,10918,1927
5,23,117354,17143,13402,11486,1847
5,24,115680,16135,12652,11589,1375
5,25,132434,16311,11315,12631,2215
5,26,165241,24387,14611,13265,2068
5,27,98042,14139,11086,11180,1336
5,28,88333,13573,10795,10574,1533
