Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
3,64,503626,223089,69171,21306,2738
3,65,64076,17533,16364,14469,1690
3,66,89487,15109,12091,12543,1989
3,67,65166,16346,14740,14683,1816
3,68,68442,16373,14860,13989,1710
3,69,73112,16309,18924,19542,2374
3,70,61908,17561,16062,14105,1600
3,71,81649,13480,11397,10607,1492
3,72,85330,13920,11442,10584,1330
3,73,101752,15429,12212,10982,1649
3,74,104030,26440,25276,25491,5837
3,75,67599,19759,19106,18757,2530
3,76,53473,16485,15309,15693,1588
3,77,75138,18374,17667,17300,2478
3,78,59155,16866,16622,16597,2249
3,79,62007,17302,17119,16379,1808
3,80,70951,18055,17010,15789,2236
3,81,62181,23030,22431,18554,1597
3,82,75249,17391,16485,16934,2145
3,83,77780,15066,13879,13273,1959
3,84,81766,16752,14857,12915,1815
3,85,75284,20979,200645,151292,1910
3,86,90582,13786,11765,11065,448
3,87,78335,12405,9992,10038,1430
3,88,67886,11677,9367,9796,1432
3,89,91558,14853,12951,12153,1779
3,90,80663,14977,12330,11429,1919
3,91,103215,28638,36846,30414,1972
3,92,77052,20485,19114,17837,1952
3,93,51345,16777,16088,14266,1207
3,94,76511,16038,16220,13727,1348
3,95,89611,17377,16854,13673,1593
3,96,93858,15398,13694,11208,2086
4,1,191950,29296,22725,21286,3727
4,2,185218,28674,23577,21041,3180
4,3,112745,22847,20345,17591,3280
4,4,1716093,1703330,1185190,457744,2187
4,5,107740,31219,45290,34096,1687
4,6,110895,17402,15865,11602,1693
4,7,128801,15117,12113,8616,1565
4,8,116971,13594,10126,7105,1106
4,9,115776,16080,12939,10414,1671
4,10,172893,20002,15109,12308,2024
4,11,199568,23428,16837,14262,2568
4,12,186985,23369,16364,14262,4505
4,13,151492,20919,13769,13540,2383
4,14,127569,18380,12906,11181,2193
4,15,107552,14722,10473,9365,1179
4,16,104879,15897,11909,8936,1415
4,17,92860,14907,11581,9651,1865
4,18,88108,15395,12187,9545,4496
4,19,92998,18536,13567,9093,410
4,20,102420,18634,13857,10077,1867
4,21,109567,19869,15783,12537,2680
4,22,105525,17981,14147,11933,1833
4,23,118944,17303,13929,11999,1781
4,24,125073,16633,13142,11752,912
4,25,155181,18737,13029,13007,2855
4,26,151208,18845,12568,12243,2465
4,27,110123,15171,11271,11878,2027
4,28,99827,15099,11690,11973,1795
4,29,92169,14802,11072,11993,1590
4,30,81099,14484,10946,11759,1781
4,31,70370,17290,15755,15729,1769
4,32,1347090,2076593,1714153,457654,2879
4,33,1255063,2037729,1659837,441734,2620
4,34,677047,1165970,1005736,291311,1970
4,35,163372,143591,133178,57416,2669
4,36,114955,40860,36668,22370,3573
4,37,109156,15402,13467,11763,1950
4,38,107705,15741,13110,11796,2031
4,39,93141,14629,12015,11670,1908
4,40,83949,14134,11946,12716,1274
4,41,96981,22963,15458,13051,1532
4,42,90112,13963,10935,12376,1775
4,43,83172,13274,10592,11570,1108
4,44,77378,13072,10129,10370,1901
4,45,67519,11782,9820,8976,1871
4,46,89576,14634,11670,10439,2017
4,47,108874,19122,14702,12437,2748
4,48,91380,14060,11417,9463,1596
4,49,98772,17271,13596,11901,1818
4,50,93332,15648,12315,11948,1939
4,51,69514,13536,10855,10403,1917
4,52,66233,12940,10783,9997,832
4,53,83302,17544,14007,12118,1852
4,54,76817,15669,13005,12856,1784
4,55,72088,13372,10647,11273,1200
4,56,72667,14544,11999,11888,1980
4,57,84989,19908,15001,13111,2889
4,58,68295,12976,11331,10555,1478
4,59,56515,13801,9939,10929,1281
4,60,106959,33791,21733,12315,1941
4,61,130807,19713,14992,14341,2794
4,62,90128,14983,12109,10987,1525
4,63,87470,14597,10834,11115,1995
4,64,504690,223871,69621,21603,2365
4,65,64076,17147,16383,14630,1321
4,66,89362,14981,12199,12579,2243
4,67,66214,16281,14540,15186,1805
4,68,69525,16647,14726,14084,1778
4,69,73300,16131,19173,19774,2346
4,70,62977,17486,16087,14107,1685
4,71,82903,13616,11238,10519,833
